latitude,longitude,vehicle_count,congestion_level,co2_emissions_g_per_km
18.477804465173406,73.87169639307778,184,0.49,112.9
18.506246572854426,73.87689668772578,441,0.33,136.4
18.48198690595251,73.88627926694362,358,0.63,95.4
18.556710342587557,73.89570053418176,155,0.24,277.1
18.532729812682753,73.84049951568515,384,0.08,195.8
18.503489802485262,73.844258295264,340,0.13,150.2
18.4767558350286,73.81609819398409,361,0.13,165.5
18.501498232171564,73.86452801409962,164,0.15,286.8
18.502918332202672,73.81029422737967,346,0.14,88.3
18.543360617833805,73.85325980181325,236,0.64,196.6
18.53415574713552,73.86096446347076,320,0.18,176.5
18.55912127425763,73.83535412521283,151,0.35,202.9
18.517621492516195,73.8657833260569,311,0.9,54.5
18.482359424593827,73.8097500249939,89,0.47,268.0
18.541724478722298,73.81043481887492,271,0.67,283.0
18.54647850486169,73.88896005606597,434,0.17,191.3
18.52652771975695,73.84271906414114,294,0.19,224.2
18.547496717995454,73.81940605126519,464,0.04,280.6
18.519779559636437,73.85892432600548,383,0.17,226.8
18.522673282938197,73.88369935530986,201,0.28,88.1
18.513154101835852,73.82828210274968,186,0.18,194.1
18.472941912674408,73.8689890475819,110,0.09,201.7
18.48118914269933,73.81523474649939,221,0.12,156.0
18.473542918568672,73.81186817211686,365,0.46,234.1
18.534041041126375,73.85983546315681,38,0.21,283.6
18.501835598107633,73.86076351216101,58,0.36,281.4
18.52125706911647,73.87044299014983,145,0.5,162.7
18.561156647392608,73.87930913337227,470,0.69,78.3
18.495329222914886,73.90428520794626,192,0.04,296.2
18.511438292303563,73.85833003483012,160,0.8,259.7
18.545955113854305,73.83899564729413,261,0.63,81.2
18.493279816549162,73.88621861947688,239,0.08,280.2
18.478097990982878,73.83378322512621,145,0.87,267.5
18.499375145291374,73.85059714207057,77,0.92,179.7
18.486522128725397,73.81454563813423,167,0.06,197.8
18.563369765234256,73.80923507434154,495,0.28,149.8
18.55121203795644,73.90296484146779,475,0.81,63.7
18.533740375651043,73.89029801205122,336,0.75,133.8
18.55754605901877,73.87629742060938,402,0.18,250.7
18.55076720768991,73.84759529444143,380,0.21,51.2
18.4890570058886,73.8240294320071,442,0.37,133.4
18.559655899848995,73.82234370426711,20,0.48,149.5
18.524334224191563,73.83172428981646,406,0.62,184.3
18.551144015516403,73.86162266647061,480,0.37,280.0
18.56000912999235,73.87815959227001,367,0.46,136.6
18.502200347497187,73.87271973767177,209,0.75,136.7
18.481405192452765,73.83469338969459,210,0.04,234.4
18.49319351625419,73.90218652806632,388,0.25,163.1
18.513110778862625,73.88048969166958,428,0.71,106.2
18.55220147659225,73.86213540525114,331,0.9,163.1
18.556473058325633,73.86787207462343,436,0.51,85.2
18.47109521305312,73.84866000624278,441,0.53,94.1
18.521474730257754,73.83147309895011,136,0.11,174.6
18.512141100314878,73.84229726786513,153,0.45,154.7
18.492610781047073,73.88248461104644,77,0.53,278.7
18.482386536733365,73.80813934886298,63,0.24,140.6
18.50416151714036,73.8183072640507,192,0.27,195.1
18.56469097039125,73.81130026420217,179,0.38,208.1
18.502720293202074,73.8107728802319,192,0.02,53.3
18.522279062174334,73.8922460584011,336,0.32,215.9
18.540701895889516,73.877065785938,322,0.21,94.5
18.50676296023793,73.85411738290874,168,0.33,290.3
18.567578208272096,73.8164834160651,99,0.12,87.2
18.56664472949421,73.85586158751168,393,0.89,153.7
18.495578229582534,73.85404717707806,232,0.59,71.3
18.520124850589237,73.824020186991,222,0.68,299.2
18.500487830981676,73.8500851649238,271,0.79,175.5
18.498884049437745,73.84655047343973,248,0.5,198.8
18.474088694735453,73.86828500980522,183,0.09,66.8
18.53135643339799,73.87020936508677,246,0.54,237.5
18.520667902322884,73.81123040097721,166,0.59,102.5
18.475547875125,73.84416126146265,39,0.75,274.5
18.49826464642366,73.86928599157143,460,0.43,101.3
18.561226588596664,73.85701362585802,421,0.13,97.7
18.494356189066696,73.89234898411884,66,0.28,59.1
18.48488948720912,73.8725693631619,252,0.36,168.0
18.519345276027757,73.82299344270815,324,0.65,191.2
18.56896504541106,73.81375687474005,33,0.57,66.4
18.494605527151148,73.87094192782064,162,0.36,243.9
18.537613554740588,73.80935113105417,434,0.99,163.3
18.54656196153287,73.86527755812735,20,0.61,181.1
18.49416375439924,73.9007230241425,392,0.24,160.2
18.543221634861183,73.8642474177876,73,0.1,150.2
18.507178313271925,73.84551699262066,393,0.15,189.9
18.533630583059356,73.87102882184423,278,0.25,88.8
18.533752971076087,73.85252528904915,163,0.16,95.5
18.523977468407473,73.8612616789316,490,0.19,265.4
18.47942897700544,73.90084648087766,460,0.29,286.5
18.553930249558924,73.84531026378008,478,0.17,143.3
18.50247800649717,73.9028190563824,31,0.9,117.7
18.489051851039985,73.89723506419561,349,0.08,211.0
18.474477514155474,73.82627911347893,243,0.52,152.2
18.52948929431882,73.81363613008752,291,0.41,56.3
18.538156436184227,73.81677780013774,475,0.98,89.0
18.472058782892784,73.80852218256516,377,0.11,229.0
18.521609305829926,73.81614429607559,479,0.4,214.7
18.49304957751979,73.87500067734165,427,0.97,56.8
18.534917279040943,73.81381886484603,175,0.87,105.5
18.487836642900497,73.83859756302938,392,0.82,107.8
18.539493773810246,73.89118753109695,27,0.26,218.0
18.50907353463005,73.80902719357358,141,0.17,54.9
18.564072998873673,73.8881468482589,367,0.67,76.0
18.484152094414597,73.83488547747734,183,0.93,250.0
18.504506635105024,73.81851648276216,109,0.56,94.6
18.481747352124057,73.87637371653642,155,0.57,213.2
18.562869361827854,73.86959428467799,205,0.28,109.5
18.5581339353381,73.8944472013527,335,0.77,74.9
18.496194162771513,73.88020710438039,197,0.19,110.8
18.536398404603418,73.88704809303849,47,0.32,230.6
18.55212222002012,73.83490345725714,239,0.43,263.9
18.525920081159946,73.82444395437797,376,0.51,257.6
18.523365057835598,73.88176147516408,60,0.24,149.3
18.494585229090045,73.88738347392673,247,0.11,217.0
18.47971027678059,73.90575051420007,211,0.61,101.2
18.560121575795332,73.84796176769115,430,0.29,123.3
18.56044180571633,73.84390180857928,466,0.58,274.1
18.533710145727326,73.8843412960742,164,0.15,53.3
18.504302979104867,73.8407803540253,220,0.48,71.4
18.505320957461265,73.89977573256036,436,0.53,102.0
18.542995567887022,73.8925412751843,231,0.05,56.6
18.560111025995255,73.84959940273751,480,0.34,95.4
18.55910864242651,73.88178710677916,239,0.13,195.8
18.548387554585762,73.88215428740847,259,0.06,155.4
